distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p38,p40,p41,p42,p43,p44
NA,100,60,80,120,100,60,80,120,100,60,80,120,100,60,80,120,100,60,80,120,100,60,80,120,100,60,60,120,100,60,80,120
NA,80,120,60,100,80,120,60,100,80,120,60,100,80,120,60,100,80,120,60,100,80,120,60,100,80,120,120,100,80,120,60,100
NA,120,80,100,60,120,80,100,60,120,80,100,60,120,80,100,60,120,80,100,60,120,80,100,60,120,80,80,60,120,80,100,60
NA,60,100,120,80,60,100,120,80,60,100,120,80,60,100,120,80,60,100,120,80,60,100,120,80,60,100,100,80,60,100,120,80
NA,60,80,100,100,60,80,100,100,60,80,100,100,60,80,100,100,60,80,100,100,60,80,100,100,60,80,80,100,60,80,100,100
NA,120,60,120,80,120,60,120,80,120,60,120,80,120,60,120,80,120,60,120,80,120,60,120,80,120,60,60,80,120,60,120,80
NA,80,100,80,120,80,100,80,120,80,100,80,120,80,100,80,120,80,100,80,120,80,100,80,120,80,100,100,120,80,100,80,120
NA,100,120,60,60,100,120,60,60,100,120,60,60,100,120,60,60,100,120,60,60,100,120,60,60,100,120,120,60,100,120,60,60
NA,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,100,60,80,100,80,60
NA,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,120,120,60,120,100,120
NA,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,80,80,100,80,60,80
NA,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,60,100,120,60,120,100
NA,100,80,120,80,100,80,120,80,100,80,120,80,100,80,120,80,100,80,120,80,100,80,120,80,100,80,80,80,100,80,120,80
NA,120,100,60,60,120,100,60,60,120,100,60,60,120,100,60,60,120,100,60,60,120,100,60,60,120,100,100,60,120,100,60,60
NA,80,60,100,100,80,60,100,100,80,60,100,100,80,60,100,100,80,60,100,100,80,60,100,100,80,60,60,100,80,60,100,100
NA,60,120,80,120,60,120,80,120,60,120,80,120,60,120,80,120,60,120,80,120,60,120,80,120,60,120,120,120,60,120,80,120
NA,80,120,60,100,80,120,60,100,80,120,60,100,80,120,60,100,80,120,60,100,80,120,60,100,80,120,120,100,80,120,60,100
NA,100,60,80,120,100,60,80,120,100,60,80,120,100,60,80,120,100,60,80,120,100,60,80,120,100,60,60,120,100,60,80,120
NA,60,100,120,80,60,100,120,80,60,100,120,80,60,100,120,80,60,100,120,80,60,100,120,80,60,100,100,80,60,100,120,80
NA,120,80,100,60,120,80,100,60,120,80,100,60,120,80,100,60,120,80,100,60,120,80,100,60,120,80,80,60,120,80,100,60
NA,120,60,120,80,120,60,120,80,120,60,120,80,120,60,120,80,120,60,120,80,120,60,120,80,120,60,60,80,120,60,120,80
NA,60,80,100,100,60,80,100,100,60,80,100,100,60,80,100,100,60,80,100,100,60,80,100,100,60,80,80,100,60,80,100,100
NA,100,120,60,60,100,120,60,60,100,120,60,60,100,120,60,60,100,120,60,60,100,120,60,60,100,120,120,60,100,120,60,60
NA,80,100,80,120,80,100,80,120,80,100,80,120,80,100,80,120,80,100,80,120,80,100,80,120,80,100,100,120,80,100,80,120
NA,60,120,60,120,60,120,60,120,60,120,60,120,60,120,60,120,60,120,60,120,60,120,60,120,60,120,120,120,60,120,60,120
NA,80,100,120,60,80,100,120,60,80,100,120,60,80,100,120,60,80,100,120,60,80,100,120,60,80,100,100,60,80,100,120,60
NA,120,60,80,100,120,60,80,100,120,60,80,100,120,60,80,100,120,60,80,100,120,60,80,100,120,60,60,100,120,60,80,100
NA,100,80,100,80,100,80,100,80,100,80,100,80,100,80,100,80,100,80,100,80,100,80,100,80,100,80,80,80,100,80,100,80
NA,120,60,100,60,120,60,100,60,120,60,100,60,120,60,100,60,120,60,100,60,120,60,100,60,120,60,60,60,120,60,100,60
NA,100,120,80,80,100,120,80,80,100,120,80,80,100,120,80,80,100,120,80,80,100,120,80,80,100,120,120,80,100,120,80,80
NA,60,80,120,120,60,80,120,120,60,80,120,120,60,80,120,120,60,80,120,120,60,80,120,120,60,80,80,120,60,80,120,120
NA,80,100,60,100,80,100,60,100,80,100,60,100,80,100,60,100,80,100,60,100,80,100,60,100,80,100,100,100,80,100,60,100
NA,60,100,80,120,60,100,80,120,60,100,80,120,60,100,80,120,60,100,80,120,60,100,80,120,60,100,100,120,60,100,80,120
NA,120,80,60,100,120,80,60,100,120,80,60,100,120,80,60,100,120,80,60,100,120,80,60,100,120,80,80,100,120,80,60,100
NA,80,120,100,60,80,120,100,60,80,120,100,60,80,120,100,60,80,120,100,60,80,120,100,60,80,120,120,60,80,120,100,60
NA,100,60,120,80,100,60,120,80,100,60,120,80,100,60,120,80,100,60,120,80,100,60,120,80,100,60,60,80,100,60,120,80
NA,100,80,60,60,100,80,60,60,100,80,60,60,100,80,60,60,100,80,60,60,100,80,60,60,100,80,80,60,100,80,60,60
NA,80,60,80,120,80,60,80,120,80,60,80,120,80,60,80,120,80,60,80,120,80,60,80,120,80,60,60,120,80,60,80,120
NA,120,100,120,80,120,100,120,80,120,100,120,80,120,100,120,80,120,100,120,80,120,100,120,80,120,100,100,80,120,100,120,80
NA,60,120,100,100,60,120,100,100,60,120,100,100,60,120,100,100,60,120,100,100,60,120,100,100,60,120,120,100,60,120,100,100
NA,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,60,100,80,60,80,100
NA,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,100,80,60,80,80,80,60,80,100,80
NA,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,120,120,100,120,60,120
NA,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,120,60,120,100,100,60,120,100,120,60
NA,60,80,120,80,60,80,120,80,60,80,120,80,60,80,120,80,60,80,120,80,60,80,120,80,60,80,80,80,60,80,120,80
NA,80,100,60,60,80,100,60,60,80,100,60,60,80,100,60,60,80,100,60,60,80,100,60,60,80,100,100,60,80,100,60,60
NA,120,60,100,100,120,60,100,100,120,60,100,100,120,60,100,100,120,60,100,100,120,60,100,100,120,60,60,100,120,60,100,100
NA,100,120,80,120,100,120,80,120,100,120,80,120,100,120,80,120,100,120,80,120,100,120,80,120,100,120,120,120,100,120,80,120
